1625127270854220, 0, 0.0
1625127280871227, 10, 36.0
1625127290898595, 20, 64.8
1625127300939555, 30, 100.8
1625127308001035, 40, 190.8
1625127308001075, 50, 198.0
1625127318053205, 60, 198.0
1625127328103705, 70, 198.0
1625127338152902, 80, 198.0
1625127348300347, 90, 198.0
1625127358368817, 100, 198.0
1625127368397362, 110, 198.0
1625127378456605, 120, 198.0
1625127388497112, 130, 198.0
1625127398531595, 140, 198.0
1625127408551086, 150, 198.0
1625127418570458, 160, 198.0
1625127428601680, 170, 198.0
1625127438618816, 180, 198.0
1625127448631716, 190, 198.0
1625127458645603, 200, 198.0
1625127468662971, 210, 198.0
1625127478675300, 220, 198.0
1625127488725968, 230, 198.0
1625127498740796, 240, 198.0
1625127508767516, 250, 198.0
1625127518785626, 260, 198.0
1625127528841992, 270, 198.0
1625127538874443, 280, 198.0
1625127548924935, 290, 198.0
1625127558947765, 300, 198.0
1625127568993193, 310, 198.0
